[2024-11-20 16:38:02,707][root][INFO] - Train_dataset:48000, Valid_dataset:12000, Test_dataset:10000
[2024-11-20 16:38:02,707][root][INFO] - Train_loader:40, Valid_loader:47, Test_loader:10000
[2024-11-20 16:38:02,709][root][INFO] - success to load model: SimpleModel(
  (fc1): Linear(in_features=784, out_features=10, bias=True)
)
[2024-11-20 16:38:08,614][root][INFO] - Iter [105/], Loss: 1.3563
[2024-11-20 16:38:08,699][root][INFO] - Iter [106/], Loss: 1.3771
[2024-11-20 16:38:08,761][root][INFO] - Iter [107/], Loss: 1.3887
[2024-11-20 16:38:08,840][root][INFO] - Iter [108/], Loss: 1.3557
[2024-11-20 16:38:08,893][root][INFO] - Iter [109/], Loss: 1.3336
[2024-11-20 16:38:08,945][root][INFO] - Iter [110/], Loss: 1.4037
[2024-11-20 16:38:08,987][root][INFO] - Iter [111/], Loss: 1.3541
[2024-11-20 16:38:09,068][root][INFO] - Iter [112/], Loss: 1.3530
[2024-11-20 16:38:09,124][root][INFO] - Iter [113/], Loss: 1.4004
[2024-11-20 16:38:09,167][root][INFO] - Iter [114/], Loss: 1.3857
[2024-11-20 16:38:09,217][root][INFO] - Iter [115/], Loss: 1.4012
[2024-11-20 16:38:09,256][root][INFO] - Iter [116/], Loss: 1.4047
[2024-11-20 16:38:09,338][root][INFO] - Iter [117/], Loss: 1.3469
[2024-11-20 16:38:09,380][root][INFO] - Iter [118/], Loss: 1.3873
[2024-11-20 16:38:09,430][root][INFO] - Iter [119/], Loss: 1.2797
[2024-11-20 16:38:09,468][root][INFO] - Iter [120/], Loss: 1.3661
[2024-11-20 16:38:09,546][root][INFO] - Iter [121/], Loss: 1.3015
[2024-11-20 16:38:09,613][root][INFO] - Iter [122/], Loss: 1.3940
[2024-11-20 16:38:09,691][root][INFO] - Iter [123/], Loss: 1.3149
[2024-11-20 16:38:09,772][root][INFO] - Iter [124/], Loss: 1.3627
[2024-11-20 16:38:09,862][root][INFO] - Iter [125/], Loss: 1.1994
[2024-11-20 16:38:09,926][root][INFO] - Iter [126/], Loss: 1.3274
[2024-11-20 16:38:09,993][root][INFO] - Iter [127/], Loss: 1.3492
[2024-11-20 16:38:10,040][root][INFO] - Iter [128/], Loss: 1.2633
[2024-11-20 16:38:10,103][root][INFO] - Iter [129/], Loss: 1.2803
[2024-11-20 16:38:10,165][root][INFO] - Iter [130/], Loss: 1.3444
[2024-11-20 16:38:10,246][root][INFO] - Iter [131/], Loss: 1.3378
[2024-11-20 16:38:10,287][root][INFO] - Iter [132/], Loss: 1.3264
[2024-11-20 16:38:10,338][root][INFO] - Iter [133/], Loss: 1.3779
[2024-11-20 16:38:10,384][root][INFO] - Iter [134/], Loss: 1.2260
[2024-11-20 16:38:10,426][root][INFO] - Iter [135/], Loss: 1.3504
[2024-11-20 16:38:10,478][root][INFO] - Iter [136/], Loss: 1.4008
[2024-11-20 16:38:10,542][root][INFO] - Iter [137/], Loss: 1.3148
[2024-11-20 16:38:10,595][root][INFO] - Iter [138/], Loss: 1.2259
[2024-11-20 16:38:10,665][root][INFO] - Iter [139/], Loss: 1.3917
[2024-11-20 16:38:10,744][root][INFO] - Iter [140/], Loss: 1.2757
[2024-11-20 16:38:10,790][root][INFO] - Iter [141/], Loss: 1.2748
[2024-11-20 16:38:10,867][root][INFO] - Iter [142/], Loss: 1.2906
[2024-11-20 16:38:10,913][root][INFO] - Iter [143/], Loss: 1.3623
[2024-11-20 16:38:10,952][root][INFO] - Iter [144/], Loss: 1.2289
[2024-11-20 16:38:11,039][root][INFO] - Iter [145/], Loss: 1.2721
[2024-11-20 16:38:11,080][root][INFO] - Iter [146/], Loss: 1.2583
[2024-11-20 16:38:11,122][root][INFO] - Iter [147/], Loss: 1.3418
[2024-11-20 16:38:11,167][root][INFO] - Iter [148/], Loss: 1.2228
[2024-11-20 16:38:11,250][root][INFO] - Iter [149/], Loss: 1.2370
[2024-11-20 16:38:11,293][root][INFO] - Iter [150/], Loss: 1.2259
[2024-11-20 16:38:11,332][root][INFO] - Iter [151/], Loss: 1.3133
[2024-11-20 16:38:11,373][root][INFO] - Iter [152/], Loss: 1.2699
[2024-11-20 16:38:11,415][root][INFO] - Iter [153/], Loss: 1.2502
[2024-11-20 16:38:11,456][root][INFO] - Iter [154/], Loss: 1.2603
[2024-11-20 16:38:11,496][root][INFO] - Iter [155/], Loss: 1.3598
[2024-11-20 16:38:11,540][root][INFO] - Iter [156/], Loss: 1.2240
[2024-11-20 16:38:11,595][root][INFO] - Iter [157/], Loss: 1.2093
[2024-11-20 16:38:11,679][root][INFO] - Iter [158/], Loss: 1.3102
[2024-11-20 16:38:11,756][root][INFO] - Iter [159/], Loss: 1.2694
[2024-11-20 16:38:11,799][root][INFO] - Iter [160/], Loss: 1.2943
[2024-11-20 16:38:11,850][root][INFO] - Iter [161/], Loss: 1.2951
[2024-11-20 16:38:11,892][root][INFO] - Iter [162/], Loss: 1.2228
[2024-11-20 16:38:11,929][root][INFO] - Iter [163/], Loss: 1.1940
[2024-11-20 16:38:11,968][root][INFO] - Iter [164/], Loss: 1.1973
[2024-11-20 16:38:12,012][root][INFO] - Iter [165/], Loss: 1.3056
[2024-11-20 16:38:12,066][root][INFO] - Iter [166/], Loss: 1.2831
[2024-11-20 16:38:12,150][root][INFO] - Iter [167/], Loss: 1.2672
[2024-11-20 16:38:12,220][root][INFO] - Iter [168/], Loss: 1.2871
[2024-11-20 16:38:12,305][root][INFO] - Iter [169/], Loss: 1.2502
[2024-11-20 16:38:12,344][root][INFO] - Iter [170/], Loss: 1.2171
[2024-11-20 16:38:12,427][root][INFO] - Iter [171/], Loss: 1.2909
[2024-11-20 16:38:12,466][root][INFO] - Iter [172/], Loss: 1.3054
[2024-11-20 16:38:12,545][root][INFO] - Iter [173/], Loss: 1.3535
[2024-11-20 16:38:12,587][root][INFO] - Iter [174/], Loss: 1.3245
[2024-11-20 16:38:12,667][root][INFO] - Iter [175/], Loss: 1.3084
[2024-11-20 16:38:12,722][root][INFO] - Iter [176/], Loss: 1.1512
[2024-11-20 16:38:12,799][root][INFO] - Iter [177/], Loss: 1.3564
[2024-11-20 16:38:12,889][root][INFO] - Iter [178/], Loss: 1.1990
[2024-11-20 16:38:12,986][root][INFO] - Iter [179/], Loss: 1.1984
[2024-11-20 16:38:13,074][root][INFO] - Iter [180/], Loss: 1.2627
[2024-11-20 16:38:13,113][root][INFO] - Iter [181/], Loss: 1.2102
[2024-11-20 16:38:13,165][root][INFO] - Iter [182/], Loss: 1.2941
[2024-11-20 16:38:13,232][root][INFO] - Iter [183/], Loss: 1.2841
[2024-11-20 16:38:13,285][root][INFO] - Iter [184/], Loss: 1.3541
[2024-11-20 16:38:13,360][root][INFO] - Iter [185/], Loss: 1.2036
[2024-11-20 16:38:13,422][root][INFO] - Iter [186/], Loss: 1.2659
[2024-11-20 16:38:13,512][root][INFO] - Iter [187/], Loss: 1.1554
[2024-11-20 16:38:13,565][root][INFO] - Iter [188/], Loss: 1.1651
[2024-11-20 16:38:13,623][root][INFO] - Iter [0/], Loss: 1.2091
[2024-11-20 16:38:13,721][root][INFO] - Iter [0/], Loss: 1.3243
[2024-11-20 16:38:13,816][root][INFO] - Iter [0/], Loss: 1.3106
[2024-11-20 16:38:13,879][root][INFO] - Iter [0/], Loss: 1.2298
[2024-11-20 16:38:13,957][root][INFO] - Iter [0/], Loss: 1.1651
[2024-11-20 16:38:14,023][root][INFO] - Iter [0/], Loss: 1.2221
[2024-11-20 16:38:14,109][root][INFO] - Iter [0/], Loss: 1.1889
[2024-11-20 16:38:14,155][root][INFO] - Iter [0/], Loss: 1.1185
[2024-11-20 16:38:14,239][root][INFO] - Iter [0/], Loss: 1.2012
